index_content,word,nature,content_type,index_word
2,名副其实,i,pos,0
2,品牌,n,pos,1
2,售后,n,pos,2
2,客服,n,pos,3
2,服务,vn,pos,4
2,到位,v,pos,5
2,提前,v,pos,6
2,抢,v,pos,7
2,电器,n,pos,8
2,预备,v,pos,9
2,新房子,n,pos,10
2,安装,v,pos,11
2,收货,n,pos,12
2,地址,n,pos,13
2,安装,v,pos,14
2,地址,n,pos,15
2,打电话,l,pos,16
2,预约,v,pos,17
2,安装,v,pos,18
2,顺利,ad,pos,19
2,安装,v,pos,20
2,师傅,nr,pos,21
2,专业,n,pos,22
2,服务态度,n,pos,23
2,主动,b,pos,24
2,客户,n,pos,25
2,安装,v,pos,26
2,过程,n,pos,27
2,顺利,ad,pos,28
2,作业,n,pos,29
2,效率,n,pos,30
2,杠杠,n,pos,31
2,选择,v,pos,32
2,省心,n,pos,33
3,安,v,pos,0
3,两天,m,pos,1
3,评价,n,pos,2
3,安装,v,pos,3
3,师傅,nr,pos,4
3,不错,a,pos,5
3,安,v,pos,6
3,满意,v,pos,7
3,购物,n,pos,8
4,网购,n,pos,0
4,始终,d,pos,1
4,信赖,n,pos,2
4,发货,n,pos,3
4,服务,vn,pos,4
4,物流,n,pos,5
4,即时,c,pos,6
4,始终,d,pos,7
4,信赖,n,pos,8
4,国货,n,pos,9
4,家用电器,n,pos,10
4,喜欢,v,pos,11
4,牌,n,pos,12
4,微波炉,n,pos,13
4,电磁炉,n,pos,14
4,饮水机,n,pos,15
4,家里,s,pos,16
4,好多,m,pos,17
4,牌,n,pos,18
4,良心,a,pos,19
4,企业,n,pos,20
4,样式,n,pos,21
4,美观,nz,pos,22
4,结构合理,n,pos,23
4,热,a,pos,24
4,速度,n,pos,25
6,下单,n,pos,0
6,打电话,l,pos,1
6,服务态度,n,pos,2
6,快递,v,pos,3
6,发货,n,pos,4
6,送货,v,pos,5
6,第二天,m,pos,6
6,中午,t,pos,7
6,送到,v,pos,8
6,安装,v,pos,9
6,师傅,nr,pos,10
6,干活,a,pos,11
6,麻利,nr,pos,12
6,服务,vn,pos,13
6,品牌,n,pos,14
6,值得,v,pos,15
6,拥有,v,pos,16
9,乡下,s,pos,0
9,外公,n,pos,1
9,包装,v,pos,2
9,看着,v,pos,3
9,很大,a,pos,4
9,气,n,pos,5
9,上档次,b,pos,6
9,送货,v,pos,7
9,挺快,v,pos,8
9,预约,v,pos,9
9,安装,v,pos,10
9,价格,n,pos,11
9,蛮好,a,pos,12
9,安装费,n,pos,13
9,不到,v,pos,14
9,一百,m,pos,15
9,搞定,v,pos,16
9,简单,a,pos,17
9,温度,n,pos,18
9,标示,v,pos,19
9,配送,v,pos,20
9,花,v,pos,21
9,洒,v,pos,22
9,出水量,n,pos,23
9,适中,v,pos,24
9,烧水,n,pos,25
9,挺快,v,pos,26
9,夏天,t,pos,27
9,洗,v,pos,28
9,冬天,t,pos,29
9,洗完,v,pos,30
9,烧,v,pos,31
9,半个,m,pos,32
9,小时,n,pos,33
11,烧水,n,pos,0
11,加热,v,pos,1
11,不急,a,pos,2
11,半个,m,pos,3
11,小时,n,pos,4
11,热水,n,pos,5
11,连接,v,pos,6
11,大花洒,i,pos,7
11,出水量,n,pos,8
11,洗,v,pos,9
11,爽,a,pos,10
11,加热,v,pos,11
11,到度,d,pos,12
11,混,a,pos,13
11,凉水,n,pos,14
11,显示,v,pos,15
11,水温,n,pos,16
11,降到,v,pos,17
11,热水,n,pos,18
11,水温,n,pos,19
11,降低,v,pos,20
11,满意,v,pos,21
11,满意,v,pos,22
11,特别,d,pos,23
11,赞扬,v,pos,24
11,西安,ns,pos,25
11,售后,n,pos,26
11,赵师傅,nr,pos,27
11,赵师傅,nr,pos,28
11,安装,v,pos,29
11,管线,n,pos,30
11,改造,v,pos,31
11,麻烦,an,pos,32
11,师傅,nr,pos,33
