id,comment,score
28315,高，还好吗？,0.8008
28316,可爱又真实的G,0.947
28317,失败是因为有些能人被埋没了，应该让他们来拍。,0.1478
28318,可能亏损的那个表基本没什么意义，数据基本没参考价值。,0.1661
28319,感谢大吧，那什么,0.6961
28320,喜欢害羞的你,0.6769
28321,缺少一个铁血男主角,0.9543
28322,吒儿好棒！,0.8631
28323,能不能积极一点 打打鸡血 进度每三小时发条微博 定个目标 别再低调了,0.769
28324,果真是事事不如人意，难过的让人心颤…[淚],0.8054
28325,想为这样的小江承包整片郁金香海洋，和所有夜晚的“好好睡，晚安”,0.4706
28326,我总感觉鹿小晗不敢直视舒淇姐姐,0.7047
28327,170414 恭贺今日《择天记》发布会圆满结束。作为人类非物质文化遗产的全球唯一入选陶瓷类项目龙泉青瓷中精心挑选了雷慧仙大师的手工瑰丽之作，同时敬献辛国正大师手工品茗杯、以及手工细雕檀木梳，以表心意。择天同行，感谢在鹿晗演艺道路上的合作与悉心指点，在此预祝电视剧《择天记》收视长虹！,1.0
28328,Hi~您好，您发布的文章已被创建同名问题，文章内容被收录为回答。此问题将会吸引更多用户参与讨论，您的文章也会被更多网友看到，带来更高曝光和互动量~戳→→,0.9846
28329,"恭喜你的优质内容进入热门流电影频道曝光~持续沿着垂直领域方向创作，获取更多流量,详情见",0.9999
28330,沈阳有嘛 ,0.7188
28331,太温柔,0.7124
28332, ,0.5262
28333,武汉保利星河九州粗暴对待业主！不仅虚假承诺还不让业主看样板间！,0.0307
28334,真想陪他闯天下就把该做好的事做好。没有哪家搞集资是低调就能搞好的，已经数次尝试理解大吧了，可还是会为大吧的工作效率感到失望。鹿晗这张专辑销量有多重要大吧难道不明白吗？可为什么我看不到大吧的积极性？,0.0442
28335,我来了!,0.5262
28336,最后那张是慈善会的时候吗？,0.7862
28337, 迟到的大连包场  但我们的热情永远不会迟到,0.9892
28338,回复为图片,0.1911
28339,图四的可爱 加油 加油 加油＾０＾~,0.9998
28340,表白鹿晗,0.3013
28341,我爱江洋[淚][淚][淚],0.6552
28342,啊啊啊啊啊期待江洋哥哥,0.998
28343,鹿晗堆塔数据群恭祝鹿晗新春快乐！预祝《上海堡垒》票房大卖！！！新年快乐,0.6911
28344,堡总冲鸭,0.3485
28345,大不了把那些片段放出来，我们粉丝自己剪啊啊啊啊,0.9883
28346,微博可以转发（带签名）。合法,0.2812
