index_content,word,nature,content_type,index_word
13,价格便宜,n,pos,0
13,性价比,n,pos,1
13,高,a,pos,2
13,容量,n,pos,3
13,合适,a,pos,4
13,总体,n,pos,5
13,挺不错,i,pos,6
13,安装,v,pos,7
13,高端,n,pos,8
13,大气,n,pos,9
13,上档次,b,pos,10
13,隔壁家,n,pos,11
13,小孩,n,pos,12
13,我家,r,pos,13
13,洗澡,v,pos,14
13,场面,n,pos,15
13,一度,mq,pos,16
13,控制,v,pos,17
13,不住,v,pos,18
67,双十,m,pos,0
67,一前,t,pos,1
67,波,ns,pos,2
67,优惠,vn,pos,3
67,袭,v,pos,4
67,囤货,v,pos,5
67,时侯,n,pos,6
67,手,n,pos,7
67,慢,a,pos,8
67,手,n,pos,9
67,冇,y,pos,10
77,不错,a,pos,0
77,不错,a,pos,1
77,性价比,n,pos,2
77,高,a,pos,3
77,合算,v,pos,4
91,质量,n,pos,0
91,价格,n,pos,1
91,高,a,pos,2
91,便宜,a,pos,3
91,实用,v,pos,4
107,东西,ns,pos,0
107,性价比,n,pos,1
107,高,a,pos,2
107,安装,v,pos,3
107,师傅,nr,pos,4
107,手艺,n,pos,5
107,不错,a,pos,6
152,一个多月,m,pos,0
152,评价,n,pos,1
152,说实话,l,pos,2
152,电器,n,pos,3
152,漏电,nz,pos,4
152,不漏水,i,pos,5
152,省,n,pos,6
152,电,n,pos,7
152,客户,n,pos,8
152,态度,n,pos,9
152,送,v,pos,10
152,浴巾,n,pos,11
152,自已,d,pos,12
152,填错,v,pos,13
152,主动,b,pos,14
152,重填,v,pos,15
152,寄,v,pos,16
152,问,v,pos,17
152,随答,v,pos,18
152,物流,n,pos,19
152,安装,v,pos,20
152,师傅,nr,pos,21
152,用心,n,pos,22
154,安装,v,pos,0
154,师傅,nr,pos,1
154,速度,n,pos,2
154,特别,d,pos,3
154,自备,v,pos,4
154,角阀,n,pos,5
154,波纹管,n,pos,6
154,安装工,n,pos,7
154,挣到,v,pos,8
154,料,n,pos,9
154,钱,n,pos,10
154,安装,v,pos,11
154,态度,n,pos,12
154,不错,a,pos,13
154,东西,ns,pos,14
154,试,v,pos,15
154,安装,v,pos,16
154,高,a,pos,17
154,调,v,pos,18
154,遥控器,n,pos,19
157,家里,s,pos,0
157,坏,a,pos,1
157,上午,t,pos,2
157,下午,t,pos,3
157,收,v,pos,4
157,货,n,pos,5
157,第二天,m,pos,6
157,上午,t,pos,7
157,点,m,pos,8
157,安装,v,pos,9
157,速度,n,pos,10
157,真快,d,pos,11
157,安装,v,pos,12
157,师傅,nr,pos,13
157,态度,n,pos,14
157,没的说,l,pos,15
157,材料费,n,pos,16
157,贵,a,pos,17
157,墙上,s,pos,18
157,进,v,pos,19
157,水阀,n,pos,20
157,这部分,mq,pos,21
157,新,a,pos,22
157,顶格,n,pos,23
157,收,v,pos,24
157,费,n,pos,25
163,师傅,nr,pos,0
163,安排,v,pos,1
163,时间,n,pos,2
163,来装,v,pos,3
163,早就,d,pos,4
163,真的,d,pos,5
163,感,vg,pos,6
163,不错,a,pos,7
163,漏电,nz,pos,8
163,开关,v,pos,9
163,安装,v,pos,10
163,开关,v,pos,11
163,安装,v,pos,12
163,师傅,nr,pos,13
163,态度,n,pos,14
163,服务,vn,pos,15
163,不错,a,pos,16
165,买来,v,pos,0
165,一段时间,l,pos,1
165,质量,n,pos,2
165,不错,a,pos,3
165,效率,n,pos,4
165,高,a,pos,5
